words,links,capital_words,spam_word_count,is_spam
22,2,2,2,0
270,2,3,1,0
226,5,8,2,0
123,3,5,4,1
40,1,5,0,0
208,3,19,8,1
429,1,3,4,0
443,1,28,6,1
738,4,28,7,1
32,1,2,0,0
458,9,16,5,1
120,3,20,4,1
59,4,1,2,0
113,2,9,2,0
82,5,30,8,1
229,2,3,0,0
401,0,1,0,0
524,2,11,4,1
720,0,30,3,1
601,2,25,5,1
670,2,16,2,1
279,5,2,2,0
372,8,6,9,1
202,2,3,0,0
337,1,4,3,1
195,4,0,2,0
151,0,4,2,0
327,7,0,9,1
159,0,1,2,0
156,3,3,0,0
206,3,1,1,0
751,5,17,8,1
360,2,27,8,1
429,0,3,2,0
900,7,17,5,1
464,7,9,9,1
24,4,0,5,0
676,4,9,4,1
63,1,2,0,0
137,2,2,0,0
261,2,2,2,0
148,0,1,6,0
270,0,4,5,0
160,2,1,2,0
127,0,2,2,0
221,1,5,2,0
395,1,3,4,0
409,0,3,3,0
295,0,1,0,0
422,5,1,0,0
159,1,2,1,0
189,2,26,1,1
810,6,15,4,1
858,8,8,4,1
161,8,26,9,1
156,2,11,10,1
246,2,2,2,0
158,0,11,6,1
757,9,30,3,1
99,1,0,2,0
158,2,21,1,1
106,1,0,0,0
468,1,4,1,0
239,4,5,2,1
166,0,22,7,1
622,7,9,1,1
66,2,29,3,1
237,3,1,0,0
336,2,9,9,1
389,2,18,5,1
177,2,2,1,0
48,2,9,1,0
292,0,4,0,0
172,2,2,2,0
21,2,3,1,0
86,0,0,1,0
160,1,1,0,0
231,1,20,5,1
466,0,28,9,1
257,0,2,0,0
273,2,0,0,0
32,0,4,2,0
343,5,0,4,1
123,2,2,0,0
212,2,3,1,0
269,4,1,2,0
144,0,0,9,1
149,1,0,0,0
172,0,0,6,0
116,10,25,7,1
136,1,3,5,0
428,1,0,1,0
272,10,8,4,1
237,6,0,5,1
21,0,2,4,0
701,4,7,7,1
129,1,1,2,0
55,7,22,10,1
149,5,21,9,1
93,1,0,2,0
179,4,13,10,1
122,2,2,2,0
804,10,15,3,1
316,8,11,8,1
492,10,5,3,1
470,1,18,9,1
297,9,14,3,1
743,6,7,0,1
101,0,1,1,0
149,2,0,0,0
318,3,2,7,1
171,4,1,6,1
810,7,16,4,1
420,2,20,5,1
916,6,22,7,1
138,0,0,2,0
82,2,2,1,0
994,9,20,1,1
176,0,1,1,0
263,2,3,0,0
119,0,3,1,0
476,10,11,8,1
611,4,22,4,1
27,1,6,2,0
523,10,19,10,1
657,5,28,3,1
59,0,1,2,0
204,1,1,3,0
286,1,10,2,0
338,0,0,0,0
81,10,0,8,1
28,0,1,0,0
911,3,18,8,1
436,9,29,5,1
219,1,3,1,0
287,4,2,0,0
152,3,20,2,1
167,0,9,1,0
181,1,3,0,0
336,0,22,3,1
283,0,2,2,0
360,3,0,1,0
159,1,8,0,0
269,3,0,1,0
208,0,0,1,0
637,5,8,10,1
126,4,3,1,0
292,7,3,10,1
113,10,9,6,1
106,0,2,1,0
217,0,9,2,0
176,0,2,0,0
538,2,16,0,1
253,3,18,7,1
255,2,1,2,0
151,1,0,6,0
172,4,18,7,1
227,2,0,2,0
725,8,3,9,1
961,2,23,6,1
527,4,20,9,1
187,8,15,6,1
90,2,21,6,1
72,2,19,4,1
322,4,7,1,1
909,8,13,7,1
219,0,0,2,0
177,1,1,2,0
609,6,5,2,1
49,0,3,2,0
149,1,3,2,0
56,2,3,0,0
146,0,2,1,0
48,2,0,5,0
214,4,19,9,1
156,3,11,6,1
275,1,2,2,0
990,3,24,7,1
171,4,3,0,0
229,0,1,2,0
57,0,1,1,0
205,0,1,2,0
111,1,1,1,0
54,1,3,3,0
957,3,19,8,1
266,1,3,0,0
156,0,0,2,0
245,5,28,7,1
47,2,0,2,0
458,2,2,2,0
380,1,0,1,0
274,2,0,1,0
218,1,3,2,0
78,6,21,3,1
216,1,0,5,0
248,2,1,1,0
218,1,6,2,0
280,1,0,1,0
269,0,1,0,0
297,4,21,7,1
235,0,0,1,0
264,2,1,0,0
961,7,1,4,1
183,8,13,9,1
126,1,3,0,0
137,2,2,2,0
119,0,3,1,0
164,2,0,0,0
39,4,0,1,0
755,10,26,5,1
272,1,0,0,0
131,5,10,2,1
161,6,16,4,1
367,2,2,1,0
349,10,25,6,1
169,0,4,1,0
83,1,1,0,0
461,1,2,0,0
151,2,2,4,0
383,4,2,2,0
777,3,28,3,1
880,8,24,10,1
21,0,2,1,0
197,0,2,0,0
21,0,1,2,0
456,0,5,1,0
863,10,0,7,1
39,0,0,1,0
258,0,2,2,0
184,3,2,2,0
162,5,5,9,1
925,3,23,2,1
78,9,29,9,1
161,2,1,1,0
181,2,1,2,0
873,0,17,8,1
133,2,1,0,0
103,8,6,10,1
330,1,3,3,1
373,4,1,3,0
120,2,21,3,1
429,2,1,4,0
274,4,0,2,0
608,10,8,6,1
154,9,25,10,1
486,9,27,3,1
231,2,0,2,0
153,3,30,3,1
325,9,11,5,1
103,3,23,4,1
504,2,29,7,1
352,0,3,0,0
364,3,23,6,1
171,0,1,0,0
346,1,4,5,0
411,2,3,2,0
57,5,16,6,1
170,2,9,10,1
632,8,28,8,1
134,5,3,10,1
66,0,0,2,0
200,2,1,2,0
971,10,19,4,1
63,6,9,8,1
449,2,0,8,1
977,7,8,4,1
208,0,0,0,0
101,1,7,7,1
148,0,0,2,0
721,4,21,9,1
273,2,26,6,1
439,3,27,9,1
46,1,2,0,0
192,10,23,6,1
116,1,11,0,1
290,0,9,3,0
435,0,1,2,0
300,0,1,1,0
877,9,20,5,1
201,1,0,2,0
247,0,0,0,0
182,2,0,5,0
102,2,0,2,0
163,0,0,2,0
282,1,0,0,0
589,10,8,8,1
343,0,30,10,1
128,2,3,1,0
281,0,30,4,1
86,5,27,8,1
139,5,11,5,1
253,0,3,1,0
988,6,0,3,1
110,9,12,0,1
718,2,4,8,1
965,3,14,8,1
219,0,2,1,0
174,1,28,6,1
170,2,16,5,1
590,2,30,8,1
247,1,1,4,0
53,2,2,2,0
107,0,1,2,0
299,1,8,2,0
724,5,3,5,1
394,8,25,8,1
69,0,2,2,0
266,0,0,3,0
109,3,2,0,1
325,1,0,2,0
146,4,12,7,1
596,1,3,5,1
275,9,3,5,1
106,1,3,0,0
299,1,2,2,0
254,0,1,2,0
107,2,2,6,0
162,1,1,3,0
67,1,3,1,0
97,2,2,2,0
612,10,20,4,1
163,1,0,1,0
349,8,7,2,1
188,0,1,0,0
161,4,8,8,1
304,1,6,2,0
261,0,0,4,0
663,8,21,6,1
255,2,0,0,0
768,7,19,3,1
209,1,2,0,0
250,2,3,1,0
789,10,8,9,1
176,2,1,2,0
151,10,8,1,1
487,2,0,0,0
630,5,5,4,1
542,2,22,3,1
217,8,0,10,1
438,4,1,0,0
158,1,10,1,0
361,3,14,10,1
393,10,5,4,1
69,7,27,6,1
223,1,0,5,0
250,2,3,6,0
243,2,0,1,0
192,1,9,2,0
286,0,9,1,0
652,8,3,6,1
218,3,12,10,1
258,5,9,2,0
958,2,19,4,1
29,0,2,0,0
93,9,22,1,1
673,1,19,3,1
385,3,25,8,1
102,2,5,10,1
640,9,15,8,1
162,3,3,5,0
106,0,3,0,0
109,2,10,0,1
839,2,7,9,1
951,9,2,4,1
124,0,4,3,0
169,9,12,8,1
283,3,11,9,1
188,0,0,1,0
404,5,10,1,1
39,1,0,0,0
438,3,1,3,1
260,5,2,2,0
574,10,21,7,1
177,2,1,1,0
298,0,1,1,0
277,1,5,2,0
839,1,27,10,1
223,0,0,2,0
213,1,0,0,0
170,0,2,1,0
784,4,12,10,1
254,4,4,8,1
951,0,14,5,1
588,7,12,4,1
290,10,18,0,1
140,5,5,8,1
271,4,4,2,0
483,0,2,6,0
195,5,1,1,0
107,0,2,0,0
52,2,0,0,0
207,0,8,1,0
114,8,0,3,1
550,4,19,4,1
156,2,2,1,0
794,4,1,0,1
250,10,29,5,1
814,0,7,9,1
164,10,16,8,1
287,2,4,0,0
580,3,26,3,1
521,1,5,9,1
35,2,0,2,0
871,8,6,6,1
38,2,6,1,0
106,7,8,3,1
841,4,15,9,1
468,9,12,7,1
179,0,3,0,0
149,1,0,1,0
43,2,1,1,0
161,0,1,2,0
62,1,5,1,0
89,4,26,4,1
622,9,22,7,1
25,0,2,0,0
184,2,3,2,0
768,5,18,3,1
730,4,15,0,1
150,2,3,1,0
355,1,4,6,0
278,5,2,0,0
734,3,22,8,1
197,0,3,0,0
623,3,15,10,1
211,5,3,1,0
130,6,23,4,1
131,1,2,4,0
849,1,10,0,1
297,10,22,7,1
474,2,3,0,0
128,1,24,1,1
156,1,3,2,0
314,6,26,10,1
164,1,3,1,0
21,1,7,3,0
252,0,2,4,0
77,5,27,6,1
244,2,0,1,0
81,10,22,8,1
803,0,16,5,1
750,3,18,3,1
721,3,5,0,1
118,1,1,2,0
198,3,22,10,1
158,9,25,9,1
244,0,1,1,0
270,0,1,1,0
179,2,29,6,1
212,10,6,3,1
210,0,10,0,0
177,0,3,4,0
115,1,5,0,0
140,0,3,2,0
422,2,1,0,0
282,2,1,0,0
553,3,9,10,1
187,4,28,9,1
129,0,3,6,0
149,2,8,0,0
241,1,10,1,0
202,1,3,0,0
151,2,1,0,0
46,2,1,0,0
146,2,10,2,0
350,8,29,6,1
146,4,0,6,0
475,4,15,8,1
195,9,14,0,1
285,0,0,2,0
930,4,13,3,1
176,0,11,1,1
125,8,28,10,1
366,2,1,1,0
267,5,2,1,0
68,8,2,8,1
822,9,20,5,1
89,1,3,2,0
305,2,6,10,1
296,2,28,9,1
193,1,3,1,0
479,2,2,5,0
164,1,2,5,0
260,2,10,2,0
715,9,28,5,1
195,3,12,9,1
277,1,1,0,0
51,5,7,2,0
87,1,28,7,1
57,5,12,7,1
209,0,2,1,0
124,9,7,5,1
118,9,13,10,1
535,3,11,3,1
447,6,21,9,1
194,3,19,3,1
209,3,0,6,0
85,2,0,2,0
850,2,7,9,1
314,9,7,4,1
39,0,3,1,0
924,8,15,10,1
832,1,5,3,1
226,3,5,5,1
206,1,1,0,0
222,2,0,5,0
832,6,25,1,1
339,2,1,2,0
76,5,0,2,0
239,0,4,2,0
136,6,18,4,1
79,1,3,3,0
366,3,0,5,1
118,2,3,0,0
763,6,1,3,1
451,2,18,7,1
235,1,0,1,0
738,7,22,8,1
286,2,1,2,0
204,1,8,2,0
330,10,10,5,1
166,1,2,4,0
885,1,25,4,1
81,1,1,2,0
999,6,11,6,1
873,2,16,7,1
208,0,3,3,0
868,7,3,9,1
33,2,2,2,0
602,8,28,6,1
262,1,2,0,0
869,10,8,3,1
128,5,4,3,1
177,10,11,7,1
167,2,17,6,1
454,3,7,2,1
891,3,10,7,1
296,1,0,1,0
255,2,26,1,1
137,0,3,1,0
220,2,0,1,0
895,4,22,2,1
435,9,6,5,1
198,5,27,0,1
962,10,8,3,1
153,2,10,5,0
891,3,18,4,1
1000,0,30,6,1
196,1,2,6,0
240,0,0,2,0
759,2,1,2,1
143,2,1,1,0
291,3,0,6,0
897,8,25,2,1
233,3,26,5,1
68,0,0,2,0
732,4,11,1,1
62,2,2,0,0
114,0,0,0,0
117,2,3,4,0
971,0,13,3,1
64,9,21,5,1
717,1,2,2,1
824,2,4,3,1
139,3,21,4,1
210,3,2,2,0
204,1,0,6,0
501,7,7,5,1
458,6,5,6,1
612,0,22,3,1
239,4,15,5,1
346,0,2,9,1
295,2,1,3,0
163,2,3,0,0
215,2,0,1,0
720,7,8,10,1
237,2,2,1,0
956,6,5,7,1
867,8,26,10,1
456,7,24,9,1
155,2,25,8,1
94,1,2,0,0
98,2,2,0,0
529,2,30,9,1
162,2,1,1,0
234,1,0,2,0
318,9,12,0,1
369,0,3,2,0
933,8,0,3,1
174,4,3,4,0
285,1,2,1,0
161,5,27,6,1
236,0,2,0,0
647,3,22,8,1
156,2,2,5,0
164,1,1,0,0
168,2,1,4,0
293,10,19,2,1
332,10,13,1,1
296,2,8,1,0
231,4,2,2,0
73,1,1,2,0
219,2,9,2,0
592,9,26,6,1
130,0,4,2,0
178,0,0,1,0
741,3,13,10,1
875,8,9,0,1
20,1,1,2,0
250,1,3,2,0
498,7,10,5,1
60,0,0,0,0
889,9,11,6,1
739,2,23,10,1
144,0,2,2,0
338,8,7,8,1
106,5,3,1,0
105,1,3,5,0
168,4,2,1,0
97,0,3,0,0
116,5,24,10,1
790,3,24,0,1
206,5,3,1,0
229,5,10,0,0
959,3,13,10,1
158,2,2,1,0
261,2,0,2,0
147,1,3,0,0
465,6,12,6,1
172,2,0,4,1
739,5,5,5,1
248,2,1,2,0
134,4,29,7,1
262,0,3,1,0
108,1,4,0,0
271,4,1,0,0
182,2,0,2,0
172,1,2,4,0
288,4,0,4,0
214,0,2,3,0
76,4,8,8,1
223,9,30,1,1
818,6,7,0,1
165,2,3,0,0
84,3,7,2,0
79,0,3,2,0
495,1,1,3,0
422,5,23,7,1
230,0,2,5,0
224,2,3,2,0
706,4,6,7,1
318,2,3,0,0
210,0,0,4,0
178,0,8,2,0
445,1,2,1,0
638,2,25,1,1
190,1,1,1,0
403,3,4,4,1
514,2,11,3,1
274,0,19,6,1
213,0,4,0,0
830,9,23,10,1
624,9,11,9,1
52,10,2,2,1
96,1,2,6,0
503,10,13,3,1
33,2,0,5,0
863,7,17,5,1
113,0,6,6,0
696,7,30,3,1
142,1,21,0,1
958,7,26,7,1
853,2,25,1,1
519,4,0,4,1
123,1,2,0,0
259,3,3,3,0
153,0,3,1,0
474,6,7,7,1
389,1,27,2,1
904,3,23,7,1
241,5,26,3,1
749,2,0,4,1
103,0,0,1,0
137,2,0,6,1
175,1,1,0,0
364,10,24,8,1
208,2,8,1,0
78,1,9,2,0
119,2,3,1,0
180,3,2,0,0
627,8,8,6,1
645,6,23,3,1
247,1,7,6,1
127,5,23,10,1
152,1,3,2,0
152,2,23,10,1
730,0,19,8,1
173,1,7,2,1
119,8,24,8,1
96,2,0,0,0
960,1,5,3,1
714,3,5,4,1
149,1,0,1,0
195,1,0,0,0
58,3,1,10,1
60,1,0,0,0
286,3,23,3,1
600,5,24,8,1
164,2,0,8,1
42,2,3,1,0
175,5,6,9,1
125,1,1,0,0
88,0,1,1,0
135,3,17,9,1
602,10,30,5,1
273,2,0,3,0
694,5,11,1,1
130,5,13,4,1
211,10,8,5,1
490,5,7,7,1
89,4,2,2,0
155,9,30,1,1
200,3,2,0,0
98,2,3,1,0
39,1,2,0,0
142,0,0,2,0
169,1,0,6,0
153,5,2,6,1
33,1,2,1,0
802,10,30,8,1
715,8,14,7,1
249,0,2,4,0
202,1,5,3,0
265,2,6,6,0
290,1,0,0,0
113,0,3,2,0
75,1,4,0,0
289,0,2,3,0
393,5,1,1,0
349,7,4,1,1
442,4,2,10,1
431,1,18,10,1
858,10,30,6,1
646,4,25,9,1
882,0,0,9,1
80,0,30,2,1
540,7,28,10,1
219,1,8,1,1
290,1,3,6,0
277,1,6,4,1
402,3,4,10,1
167,0,2,1,0
102,2,0,0,0
100,2,0,2,0
733,3,0,5,1
231,1,3,4,0
262,2,2,2,0
48,5,9,1,0
92,0,3,0,0
386,10,26,2,1
242,0,5,1,0
231,4,0,1,0
288,3,1,1,0
264,0,0,2,0
250,9,4,2,1
645,6,3,8,1
474,9,19,7,1
174,1,2,2,0
672,5,23,4,1
289,0,0,0,0
257,2,2,2,0
190,6,13,6,1
223,2,1,2,0
649,9,5,9,1
192,3,9,9,1
292,2,3,0,0
399,1,2,0,0
990,4,2,3,1
184,2,0,2,0
59,5,3,1,0
219,1,8,0,0
193,2,0,8,1
51,2,24,3,1
199,2,2,0,0
935,8,12,5,1
260,1,0,2,0
453,6,8,7,1
140,10,18,9,1
862,3,2,4,1
298,2,6,1,0
317,0,5,0,0
558,0,10,5,1
496,1,0,0,0
31,2,2,0,0
171,1,3,1,0
247,0,1,2,0
275,0,0,3,0
245,0,2,3,0
250,10,0,4,1
57,1,2,4,0
140,1,2,2,0
220,3,13,3,1
286,1,1,0,0
730,3,17,10,1
555,2,17,3,1
157,0,23,8,1
460,5,19,4,1
234,1,3,1,0
181,8,6,6,1
704,5,30,2,1
223,1,3,1,0
40,2,8,1,0
229,1,0,6,0
426,1,3,1,0
545,4,4,8,1
205,4,3,3,1
130,1,2,2,0
209,4,2,4,1
238,3,11,9,1
160,9,0,3,1
148,2,0,1,0
475,1,16,4,1
137,2,16,8,1
735,7,16,2,1
635,2,9,6,1
170,2,11,10,1
908,3,10,5,1
995,2,16,7,1
77,7,4,1,1
106,2,0,6,0
479,1,0,1,0
195,1,2,2,0
421,2,3,0,0
159,1,0,2,0
109,2,5,2,1
66,0,0,1,0
202,0,3,2,0
695,3,25,10,1
160,2,2,2,0
290,2,2,2,0
132,0,26,5,1
176,8,24,1,1
465,4,12,4,1
938,2,6,9,1
999,3,2,9,1
99,4,2,0,0
815,2,13,7,1
220,1,2,2,0
165,1,10,1,0
622,5,1,7,1
21,0,0,5,0
657,2,4,3,1
878,2,4,7,1
665,6,23,2,1
165,0,3,1,0
467,8,1,8,1
213,2,1,1,0
20,2,3,0,0
477,2,25,10,1
85,4,16,10,1
43,0,5,1,0
179,5,9,9,1
510,4,24,9,1
464,2,3,1,1
275,8,1,6,1
76,3,19,7,1
243,10,23,7,1
119,10,13,5,1
156,2,3,2,0
703,4,6,10,1
811,8,27,10,1
64,1,5,2,0
249,0,3,2,0
454,9,27,9,1
579,9,17,7,1
164,10,12,9,1
201,0,1,0,0
551,3,29,6,1
161,5,5,0,0
849,2,10,5,1
273,2,10,2,0
118,3,23,1,1
187,0,2,2,0
66,0,1,0,0
174,5,6,2,0
863,2,22,10,1
996,9,2,8,1
183,5,2,0,0
201,2,16,8,1
693,9,26,2,1
960,9,19,8,1
125,2,6,0,0
683,5,0,2,1
108,1,2,0,0
104,1,10,0,0
146,0,1,2,0
359,9,7,8,1
215,0,0,0,0
385,4,2,6,1
717,8,22,7,1
162,7,30,10,1
579,3,9,7,1
489,2,26,8,1
50,2,6,8,1
183,3,4,3,1
125,8,28,4,1
893,1,26,8,1
293,2,1,1,0
74,2,3,4,0
211,1,2,1,0
252,0,0,1,0
951,3,16,1,1
217,2,3,2,0
173,2,3,0,0
263,1,3,1,0
182,1,1,1,0
133,1,2,2,0
833,1,19,7,1
153,0,3,2,0
616,7,5,4,1
286,0,3,2,0
93,2,1,2,0
163,0,7,1,0
532,9,15,10,1
101,5,0,8,1
101,9,16,3,1
489,2,1,0,0
427,1,1,5,0
879,0,12,1,1
158,3,0,1,0
48,0,1,5,0
614,9,21,4,1
459,2,0,1,0
713,5,5,8,1
275,2,0,2,0
663,6,22,9,1
159,2,1,2,0
243,1,3,0,0
173,2,1,1,0
31,1,0,0,0
313,1,2,1,0
20,3,2,1,0
182,9,27,0,1
959,2,30,6,1
35,5,1,1,0
743,10,15,10,1
33,0,1,1,0
296,2,1,2,0
56,10,7,4,1
82,0,2,1,0
97,0,3,0,0
42,2,1,0,0
287,1,3,1,0
892,5,6,5,1
275,1,5,0,0
452,5,24,3,1
495,5,1,5,0
504,8,6,4,1
61,1,2,2,0
84,2,0,3,1
174,1,2,3,0
101,1,14,6,1
510,4,21,9,1
138,7,30,3,1
292,1,2,1,0
63,2,17,0,1
807,7,22,4,1
433,1,2,2,0
198,0,2,2,0
22,1,3,4,0
294,2,3,5,0
146,5,10,5,0
506,10,9,10,1
860,3,23,5,1
121,0,27,4,1
243,1,3,2,0
115,4,10,0,0
125,2,3,6,0
710,9,14,0,1
352,0,1,2,0
371,2,9,5,1
80,3,13,6,1
97,10,6,7,1
305,8,12,4,1
79,4,20,3,1
870,3,20,3,1
275,0,8,4,0
597,7,16,3,1
296,10,0,10,1
199,2,2,0,0
122,8,12,8,1
205,1,5,6,0
944,7,0,4,1
274,2,2,5,1
496,4,4,0,1
273,4,6,8,1
767,5,4,6,1
284,1,3,2,0
232,0,0,1,0
357,6,15,7,1
23,0,1,5,0
138,0,3,0,0
997,0,6,6,1
92,1,0,1,0
294,0,1,2,0
961,9,30,6,1
292,2,2,2,0
988,8,16,2,1
291,1,1,2,0
177,6,20,3,1
649,6,2,0,1
238,1,6,2,0
39,2,3,2,0
50,2,23,7,1
132,1,2,1,0
470,3,5,5,1
196,7,19,1,1
220,5,3,1,0
161,0,2,0,0
322,9,2,10,1
536,0,13,6,1
360,2,1,5,0
192,9,5,10,1
138,7,28,4,1
226,2,0,1,0
515,3,14,10,1
446,0,2,0,0
872,10,17,8,1
181,0,2,2,0
139,1,0,1,0
475,2,1,1,0
805,3,30,0,1
30,0,2,4,0
255,1,1,0,0
254,0,1,1,0
145,1,5,5,0
161,1,3,1,0
240,0,2,1,0
232,1,0,1,0
408,2,21,0,1
88,4,2,2,0
372,1,2,2,0
777,2,5,4,1
359,0,1,6,1
239,1,0,2,0
257,2,1,0,0
29,1,1,1,0
250,4,19,5,1
297,0,2,2,0
251,5,5,0,0
247,10,2,6,1
679,7,14,7,1
953,8,9,4,1
333,10,7,10,1
115,1,3,1,0
146,0,3,0,0
368,2,26,9,1
112,7,6,5,1
761,5,29,7,1
782,6,6,8,1
675,9,26,2,1
146,0,2,0,0
161,5,8,6,1
233,0,3,2,0
210,2,1,0,0
337,0,3,2,0
100,3,11,8,1
395,4,6,10,1
278,0,2,1,0
123,3,2,2,0
565,10,14,10,1
50,4,1,1,0
224,1,6,2,0
981,3,13,7,1
140,2,20,3,1
83,1,0,0,0
984,4,17,9,1
142,9,8,8,1
40,2,3,2,0
667,1,1,7,1
35,0,1,1,0
333,2,2,4,0
639,3,17,3,1
149,6,5,0,1
640,2,29,7,1
459,7,22,7,1
201,2,9,2,0
80,1,3,2,0
341,4,27,3,1
278,0,1,4,0
100,0,3,1,0
984,6,20,4,1
655,7,10,1,1
758,7,28,0,1
30,2,1,0,0
283,4,26,6,1
79,1,0,2,0
217,1,1,2,0
363,0,2,0,0
56,9,11,8,1
245,5,2,0,0
221,7,1,6,1
369,2,4,6,0
893,2,12,9,1
35,0,2,1,0
558,3,5,0,1
723,6,18,3,1
293,6,27,10,1
299,0,2,0,0
257,0,2,2,0
212,4,1,10,1
205,1,0,2,0
632,4,24,4,1
247,3,3,8,1
272,0,3,0,0
253,0,2,5,0
446,6,7,9,1
277,3,0,1,0
180,9,3,10,1
500,5,8,7,1
225,2,8,2,0
269,0,1,2,0
274,4,3,4,0
793,4,1,2,1
471,6,5,5,1
829,1,6,6,1
935,5,28,5,1
656,7,29,5,1
337,9,25,4,1
565,6,7,7,1
78,8,17,2,1
260,2,2,0,0
70,2,0,1,0
251,1,0,0,0
162,2,3,1,0
108,0,0,9,1
108,6,9,2,1
112,1,0,6,0
171,1,2,0,0
262,1,0,0,0
132,0,1,0,0
466,2,1,0,0
495,0,2,6,0
88,1,25,10,1
145,1,2,0,0
381,3,24,3,1
197,0,1,6,0
795,4,9,6,1
204,2,3,0,0
744,2,23,0,1
488,2,0,1,0
394,8,27,9,1
505,5,7,10,1
169,0,0,2,0
685,3,24,10,1
581,0,13,6,1
573,10,30,3,1
421,10,9,3,1
205,5,16,7,1
784,2,5,10,1
893,9,6,10,1
927,8,9,9,1
277,1,2,4,0
53,2,0,2,0
183,0,2,0,0
73,3,1,0,0
306,5,8,0,0
168,0,0,1,0
613,2,10,9,1
665,8,6,5,1
714,9,30,7,1
679,8,7,10,1
392,7,10,2,1
147,0,0,1,0
169,0,0,2,0
456,5,13,2,1
155,2,1,3,0
163,3,5,9,1
122,1,3,1,0
158,0,0,5,0
163,2,3,2,0
573,5,27,4,1
295,0,3,1,0
897,4,8,3,1
274,1,3,1,0
409,10,25,4,1
207,0,3,1,0
134,2,1,2,0
133,0,1,0,0
533,4,5,5,1
183,9,5,9,1
129,2,0,1,0
111,2,0,2,0
165,0,20,4,1
210,0,0,1,0
183,3,30,0,1
99,10,8,7,1
110,1,2,5,0
860,9,13,10,1
802,4,10,4,1
251,1,1,0,0
986,5,27,5,1
50,1,1,0,0
647,2,11,1,1
192,2,30,7,1
754,2,12,5,1
218,2,2,1,0
208,4,1,2,0
183,2,2,5,0
477,2,29,3,1
899,2,21,7,1
353,2,7,5,1
216,1,1,2,0
610,8,18,3,1
460,3,15,4,1
277,2,8,1,0
127,0,0,2,0
283,8,30,1,1
44,2,2,0,0
279,2,2,5,0
260,1,1,0,0
528,4,17,7,1
130,8,18,8,1
862,3,5,5,1
151,0,0,5,0
709,4,0,3,1
778,4,28,6,1
136,0,1,2,0
357,9,16,1,1
194,1,4,5,0
94,1,2,0,0
148,1,0,2,0
202,0,2,0,0
750,8,5,10,1
450,1,7,0,0
928,9,5,4,1
257,3,1,1,0
228,1,1,5,0
176,1,2,1,0
126,0,1,2,0
840,7,24,5,1
732,6,27,7,1
270,2,3,0,0
80,2,3,0,0
280,2,2,2,0
37,0,2,1,0
83,2,1,0,0
616,2,13,6,1
146,1,2,0,0
89,2,1,0,0
56,0,8,1,0
172,2,8,4,0
195,2,5,0,1
682,4,16,3,1
836,3,6,3,1
